category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
02/36,Lane Keeping Assist Suspend Beep,Aviso Sonoro de Suspensão do Auxílio na Permanência de Faixa,LKAS解除ブザー,1084,0,"{""1"": 1, ""2"": 2}","[{""source"": 0, ""menu"": 4}]",metadata_present
02/37,City Brake Active System,Sistema ativo de freio urbano,CTBAシステムON/OFF,1106,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/38,"CTBA System
Alarm ON/OFF",,CTBAシステム警報音ON/OFF,1126,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/39,Start Information,Informações iniciais,発進お知らせ設定,1146,0,"{""1"": 1, ""2"": 2, ""3"": 3}","[{""source"": 0, ""menu"": 10}]",metadata_present
02/3A,Road Departure Mitigation Setting,Configuração de Mitigação de Saída de Estrada,路外逸脱機能設定Road Departure Mitigation Settings,1169,0,"{""1"": 1, ""2"": 2, ""3"": 3}","[{""source"": 0, ""menu"": 12}]",metadata_present
02/3B,"ACC Function Setting with Interruption Predictor
i-ACC Setting",,割り込み予測付ACC機能設定i-ACC　setting,1192,0,"{""1"": 1, ""2"": 2}","[{""source"": 0, ""menu"": 13}]",metadata_present
02/3C,Default,Padrão,default,1214,2,{},[],no_xml_route
02/3D,Traffic Signal Information Driving Support - Drive Information Transmission,Inf. de sinais de trânsito de suporte à condução - Transmissão de inf. de condução,信号情報活用運転支援表示 ON/OFF,1228,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 56}]",metadata_present
02/3E,,,ナイトビジョン注意喚起,1251,0,"{""1"": 0, ""2"": 1}","[{""source"": 165, ""menu"": 1}]",metadata_present
02/3F,Blind Spot Info,Informações de Ponto Cego,BSIシステム インジケータ及びステアリングインフォメーションON/OFF,1273,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 159, ""menu"": 5}]",metadata_present
02/40,,,眠気検知システム休憩喚起モード切替,1296,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
